"Age-Adjusted Invasive Cancer Incidence Rates by County in Texas"
"Myeloma, 2018"

County,Population At Risk,Cases,Crude Rate,Age-Adjusted Rate,95% Confidence Interval Lower,95% Confidence Interval Upper
Hemphill,3492,~,~,~,~,~
Kimble,4282,~,~,~,~,~
Mason,3941,~,~,~,~,~
Clay,10207,~,~,~,~,~
Sabine,10030,~,~,~,~,~
Reeves,14484,~,~,~,~,~
Pecos,15201,~,~,~,~,~
Concho,3123,~,~,~,~,~
Archer,8630,~,~,~,~,~
Jackson,14948,~,~,~,~,~
Carson,5904,~,~,~,~,~
Hansford,5449,~,~,~,~,~
Garza,5869,~,~,~,~,~
Hockley,21761,~,~,~,~,~
Knox,3381,~,~,~,~,~
Kleberg,31279,~,~,~,~,~
Freestone,19443,~,~,~,~,~
Hartley,5470,~,~,~,~,~
Mitchell,8847,~,~,~,~,~
Hardeman,3565,~,~,~,~,~
Karnes,15014,~,~,~,~,~
Red River,11813,~,~,~,~,~
Stephens,9232,~,~,~,~,~
Real,2914,~,~,~,~,~
Burleson,17655,~,~,~,~,~
Upshur,40280,~,~,~,~,~
Lynn,5465,~,~,~,~,~
Houston,22396,~,~,~,~,~
Morris,11920,~,~,~,~,~
Marion,9747,~,~,~,~,~
Caldwell,44701,~,~,~,~,~
Coke,3292,~,~,~,~,~
Bell,357215,39,10.9,13.2, 9.3,18.2
Blanco,11006,~,~,~,~,~
Moore,21591,~,~,~,~,~
Llano,21089,~,~,~,~,~
Kaufman,131252,~,~,~,~,~
Hunt,96909,~,~,~,~,~
Johnson,172247,21,12.2,12.5, 7.6,19.3
Wharton,41477,~,~,~,~,~
McLennan,255333,30,11.8,11.9, 8.0,17.2
Frio,18542,~,~,~,~,~
Guadalupe,165745,20,12.1,11.8, 7.2,18.4
Fannin,35079,~,~,~,~,~
Ector,160072,~,~,~,~,~
Franklin,10465,~,~,~,~,~
Gregg,123329,16,13.0,11.4, 6.4,18.8
Ellis,180928,19,10.5,11.2, 6.7,17.7
Panola,22492,~,~,~,~,~
Kendall,42462,~,~,~,~,~
Jim Wells,39484,~,~,~,~,~
Tyler,20096,~,~,~,~,~
Young,17962,~,~,~,~,~
De Witt,19812,~,~,~,~,~
Chambers,43210,~,~,~,~,~
Denton,853441,74, 8.7,10.7, 8.3,13.6
Howard,34418,~,~,~,~,~
Rains,11798,~,~,~,~,~
Dallas,2607623,245, 9.4,10.5, 9.2,11.9
Anderson,58226,~,~,~,~,~
Bee,31260,~,~,~,~,~
Jack,8409,~,~,~,~,~
Maverick,57562,~,~,~,~,~
Williamson,565253,55, 9.7,10.1, 7.5,13.2
Hale,33242,~,~,~,~,~
Deaf Smith,18912,~,~,~,~,~
Somervell,9093,~,~,~,~,~
Waller,53526,~,~,~,~,~
Cherokee,50364,~,~,~,~,~
Collin,1007962,83, 8.2, 9.7, 7.6,12.1
Hopkins,36440,~,~,~,~,~
Fort Bend,780409,65, 8.3, 9.6, 7.3,12.4
Nacogdoches,64869,~,~,~,~,~
Hood,59082,~,~,~,~,~
Jasper,33771,~,~,~,~,~
Liberty,86441,~,~,~,~,~
Galveston,342612,32, 9.3, 9.2, 6.2,13.0
Nueces,353916,33, 9.3, 9.0, 6.2,12.8
Titus,31398,~,~,~,~,~
Eastland,17803,~,~,~,~,~
Tarrant,2073591,171, 8.2, 8.9, 7.6,10.4
Atascosa,48230,~,~,~,~,~
Taylor,140791,~,~,~,~,~
Polk,48023,~,~,~,~,~
Erath,41875,~,~,~,~,~
Smith,228423,24,10.5, 8.7, 5.5,13.1
Wood,44212,~,~,~,~,~
Wilson,48607,~,~,~,~,~
Bowie,93364,~,~,~,~,~
El Paso,855704,68, 8.0, 8.4, 6.5,10.6
Victoria,91336,~,~,~,~,~
Cameron,418896,36, 8.6, 8.2, 5.8,11.5
Van Zandt,57825,~,~,~,~,~
Brazos,227553,~,~,~,~,~
Gillespie,26527,~,~,~,~,~
Lee,17197,~,~,~,~,~
Hutchinson,20922,~,~,~,~,~
Castro,7505,~,~,~,~,~
Bexar,1970208,150, 7.6, 7.9, 6.7, 9.3
Hidalgo,858241,57, 6.6, 7.8, 5.9,10.1
Parmer,9926,~,~,~,~,~
Harris,4673634,307, 6.6, 7.6, 6.7, 8.5
Walker,76615,~,~,~,~,~
Potter,120278,~,~,~,~,~
Orange,84750,~,~,~,~,~
Gray,21601,~,~,~,~,~
Lubbock,305288,22, 7.2, 7.2, 4.5,11.0
Montgomery,588777,43, 7.3, 7.2, 5.1, 9.8
Trinity,13710,~,~,~,~,~
Kerr,52244,~,~,~,~,~
Henderson,80985,~,~,~,~,~
Tom Green,118360,~,~,~,~,~
Bastrop,91406,~,~,~,~,~
Leon,15845,~,~,~,~,~
San Patricio,68075,~,~,~,~,~
Shelby,24444,~,~,~,~,~
Brown,38087,~,~,~,~,~
Comal,147255,~,~,~,~,~
Montague,19641,~,~,~,~,~
Travis,1242969,71, 5.7, 6.7, 5.1, 8.5
Lampasas,21091,~,~,~,~,~
Brazoria,363518,22, 6.0, 6.7, 4.1,10.2
Uvalde,24977,~,~,~,~,~
Wise,66539,~,~,~,~,~
Val Verde,47884,~,~,~,~,~
Scurry,17069,~,~,~,~,~
Jefferson,257501,19, 7.4, 6.6, 3.9,10.4
Gonzales,19709,~,~,~,~,~
Webb,266186,~,~,~,~,~
Calhoun,20592,~,~,~,~,~
Palo Pinto,28162,~,~,~,~,~
Hardin,55606,~,~,~,~,~
San Augustine,7985,~,~,~,~,~
Gaines,20625,~,~,~,~,~
Aransas,23391,~,~,~,~,~
Andrews,17869,~,~,~,~,~
Terry,11987,~,~,~,~,~
Parker,139220,~,~,~,~,~
Robertson,16905,~,~,~,~,~
Cass,28924,~,~,~,~,~
Lamar,49849,~,~,~,~,~
Hill,35383,~,~,~,~,~
Midland,166468,~,~,~,~,~
Randall,136837,~,~,~,~,~
San Jacinto,27232,~,~,~,~,~
Angelina,86512,~,~,~,~,~
Navarro,51244,~,~,~,~,~
Falls,16960,~,~,~,~,~
Grayson,131860,~,~,~,~,~
Newton,12690,~,~,~,~,~
Rockwall,99988,~,~,~,~,~
Austin,30146,~,~,~,~,~
Hays,224692,~,~,~,~,~
Grimes,28149,~,~,~,~,~
Milam,25014,~,~,~,~,~
Coryell,79867,~,~,~,~,~
Harrison,68681,~,~,~,~,~
Wichita,129029,~,~,~,~,~
Starr,65334,~,~,~,~,~
Burnet,47196,~,~,~,~,~
Washington,35545,~,~,~,~,~
Medina,49801,~,~,~,~,~
Limestone,22280,~,~,~,~,~
Lavaca,20203,~,~,~,~,~
Rusk,52492,~,~,~,~,~
Fayette,24444,~,~,~,~,~
Colorado,20522,~,~,~,~,~
Bandera,20537,~,~,~,~,~
Cooke,40776,~,~,~,~,~
Matagorda,36230,~,~,~,~,~
Runnels,9835,0, 0.0, 0.0***, 0.0, 0.0
Zapata,13909,0, 0.0, 0.0***, 0.0, 0.0
Bailey,7044,0, 0.0, 0.0***, 0.0, 0.0
Sutton,3469,0, 0.0, 0.0***, 0.0, 0.0
Stonewall,1246,0, 0.0, 0.0***, 0.0, 0.0
Yoakum,7776,0, 0.0, 0.0***, 0.0, 0.0
Throckmorton,1470,0, 0.0, 0.0***, 0.0, 0.0
Winkler,7690,0, 0.0, 0.0***, 0.0, 0.0
Wilbarger,13017,0, 0.0, 0.0***, 0.0, 0.0
Willacy,20554,0, 0.0, 0.0***, 0.0, 0.0
Swisher,7071,0, 0.0, 0.0***, 0.0, 0.0
Sterling,1335,0, 0.0, 0.0***, 0.0, 0.0
Armstrong,1873,0, 0.0, 0.0***, 0.0, 0.0
Wheeler,5146,0, 0.0, 0.0***, 0.0, 0.0
Sherman,2877,0, 0.0, 0.0***, 0.0, 0.0
San Saba,5801,0, 0.0, 0.0***, 0.0, 0.0
Schleicher,2604,0, 0.0, 0.0***, 0.0, 0.0
Upton,3352,0, 0.0, 0.0***, 0.0, 0.0
Shackelford,3135,0, 0.0, 0.0***, 0.0, 0.0
Ward,11390,0, 0.0, 0.0***, 0.0, 0.0
Delta,5220,0, 0.0, 0.0***, 0.0, 0.0
Brewster,9544,0, 0.0, 0.0***, 0.0, 0.0
Refugio,6833,0, 0.0, 0.0***, 0.0, 0.0
Crane,4690,0, 0.0, 0.0***, 0.0, 0.0
Hudspeth,3294,0, 0.0, 0.0***, 0.0, 0.0
